USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQTX,AWATER_SQTX,INTPTLAT,INTPTLONG,ROTATE,NOTES
TX,48269,1383920,King,2359148814,6398044,910.872,2.47,33.614268,-100.245345,0,0
TX,48271,1383921,Kinney,3522525626,13124948,1360.055,5.0680000000000005,29.347085999999997,-100.4177,0,0
TX,48273,1383922,Kleberg,2282572445,541041659,881.306,208.89700000000002,27.438734999999998,-97.66062,0,0
TX,48275,1383923,Knox,2203098612,12587673,850.6210000000001,4.86,33.61189,-99.730356,0,0
TX,48283,1383924,La Salle,3850545737,19503739,1486.704,7.53,28.351097999999997,-99.096774,0,0
TX,48277,1383925,Lamar,2349626845,67098434,907.196,25.906999999999996,33.667263,-95.570348,0,0
TX,48279,1383926,Lamb,2631897589,3973764,1016.181,1.534,34.068861,-102.34801800000001,0,0
TX,48281,1383927,Lampasas,1846250642,2833490,712.841,1.094,31.196731,-98.240889,0,0
TX,48285,1383928,Lavaca,2511535250,1882216,969.709,0.727,29.382578000000002,-96.923633,0,0
TX,48287,1383929,Lee,1629158370,13153181,629.0219999999999,5.078,30.321498,-96.976823,0,0
TX,48289,1383930,Leon,2779462025,19328383,1073.156,7.462999999999999,31.300493,-95.995622,0,0
TX,48291,1383931,Liberty,3000095674,46626334,1158.343,18.003,30.158508,-94.844061,0,0
TX,48293,1383932,Limestone,2345053175,71830221,905.43,27.734,31.547543,-96.593623,0,0
TX,48295,1383933,Lipscomb,2414422645,298741,932.2139999999999,0.115,36.2802,-100.272683,0,0
TX,48297,1383934,Live Oak,2692796906,101483818,1039.695,39.183,28.351535,-98.126961,0,0
TX,48299,1383935,Llano,2419185654,82370906,934.053,31.804000000000002,30.707584000000004,-98.68469,0,0
TX,48301,1383936,Loving,1732230054,19981167,668.818,7.715,31.844935999999997,-103.561229,0,0
TX,48303,1383937,Lubbock,2319592469,13216115,895.6,5.103,33.611469,-101.81994399999999,0,0
TX,48305,1383938,Lynn,2309924849,4169718,891.867,1.61,33.178412,-101.818493,0,0
TX,48313,1383939,Madison,1207103453,16493254,466.065,6.367999999999999,30.966878,-95.93037199999999,0,0
TX,48315,1383940,Marion,986485096,102144722,380.884,39.438,32.798182000000004,-94.356853,0,0
TX,48317,1383941,Martin,2369724587,1931832,914.956,0.746,32.30983,-101.961836,0,0
TX,48319,1383942,Mason,2405674102,8755301,928.836,3.38,30.703915999999996,-99.237302,0,0
